#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
1qe3.pdb:A	5lui.pdb:A	0.4219	0.7015	3.5	0.069	0.121	0.141	467	264	227
1qe3.pdb:A	6eqe.pdb:A	0.4237	0.7019	3.48	0.06	0.106	0.123	467	265	228
1qe3.pdb:A	7dzv.pdb:A	0.4237	0.6953	3.53	0.051	0.09	0.105	467	268	228
1qe3.pdb:A	8cru.pdb:A	0.4252	0.7075	3.43	0.062	0.11	0.127	467	264	228
5lui.pdb:A	6eqe.pdb:A	0.9354	0.932	1.45	0.504	0.502	0.518	264	265	257
5lui.pdb:A	7dzv.pdb:A	0.9424	0.9287	1.47	0.504	0.496	0.514	264	268	259
5lui.pdb:A	8cru.pdb:A	0.9342	0.9342	1.43	0.53	0.53	0.547	264	264	256
6eqe.pdb:A	7dzv.pdb:A	0.9765	0.9657	0.95	0.766	0.757	0.772	265	268	263
6eqe.pdb:A	8cru.pdb:A	0.9856	0.9893	0.6	0.875	0.879	0.882	265	264	263
7dzv.pdb:A	8cru.pdb:A	0.9628	0.9772	0.93	0.787	0.799	0.805	268	264	262
